comparison,pearson,block_boot_ci_low,block_boot_ci_high
bld_ind_Aatt_Hrec,-0.298661338163656,-0.30692634803866226,-0.2905553733838683
bld_ind_Arec_Hatt,-0.2613243033729395,-0.26824482556620477,-0.2540854128514679
liv_ind_Aatt_Hrec,-0.1792332217613724,-0.18558340463972378,-0.17230621284517844
liv_ind_Arec_Hatt,-0.0866231311345469,-0.09259010362968378,-0.08045322587989515
